id;codice_isced;codice_livello;nome;campo_studio;sinonimi;codice_istituto;tipo_istituto
1;Developer generate;Auto Loan Account Interactions invoice;back-end;Awesome Plastic Bike;Auto Loan Account;Focused Small Rubber Mouse Netherlands Antillian Guilder;Web Alaska Generic
2;Gorgeous contextually-based;Islands Kansas;auxiliary Ethiopian Birr Lead;Division deposit;technologies Chicken Table;Optimization Front-line District;Sports
3;optical;red parsing transmit;Berkshire Auto Loan Account Plain;magnetic;Sharable Interactions;actuating New Mexico relationships;Valley Ergonomic Bhutan
4;Frozen;e-business Brand;SCSI Unions;Neck South Dakota;Grocery Cape Verde Row;Markets;solutions Berkshire Falls
5;Hollow;Credit Card Account;Quality-focused Vermont District;Auto Loan Account Corporate;Junction;transmit Somali Shilling;calculate
6;engage leverage;Soft;Regional;mint green Synergized Slovenia;interfaces sexy Books;Customizable Bedfordshire Peso Uruguayo Uruguay Peso en Unidades Indexadas;background systematic SDD
7;Wooden deliverables Specialist;cultivate Guinea;calculating Refined Concrete Ball Keyboard;Niue next generation;Ergonomic Granite Towels violet;Developer initiative;partnerships
8;generate;viral Salad Tasty;Movies;Investment Account;Moldovan Leu firewall;real-time Berkshire Investor;4th generation Coordinator
9;Representative;enterprise;JSON Shoes Money Market Account;Borders;Concrete withdrawal Industrial;Avon auxiliary;salmon
10;Savings Account Versatile Zambia;e-markets;deposit;withdrawal Designer;European Monetary Unit (E.M.U.-6) Team-oriented;service-desk Optimized override;Assurance bypass
